Hashtag,Qtd. de posts,Curtidas médias,Engajamento médio,plays_total
jaguariuna,1,3325.0,0.00011529224852089155,57100
fiochenille,1,3325.0,0.00011529224852089155,57100
tiktokshop,1,744.0,0.00011491634033463865,26500
cookie,1,4219.0,0.00011339316177458875,62200
capivara,2,10862.5,0.00010813031077132122,201300
iniciante,2,7160.0,0.00010393380656875496,258000
capybara,1,18400.0,0.00010096837302175088,144200
cursodecrochet,2,45160.0,9.192897157084653e-05,1537600
artesanatocriativo,2,26760.0,9.102026850962204e-05,1437600
rendaextra,2,26760.0,9.102026850962204e-05,1437600
baphomet,1,79000.0,8.767832782733792e-05,312700
arte,1,79000.0,8.767832782733792e-05,312700
fairydoll,1,7301.0,7.989918084436043e-05,103500
amigurumifairy,1,7301.0,7.989918084436043e-05,103500
crochetdoll,1,7301.0,7.989918084436043e-05,103500
oceanfairy,1,7301.0,7.989918084436043e-05,103500
onepiece,2,5424.0,7.409511969401804e-05,678500
viral,1,6577.0,7.10875631038209e-05,99600
croch,1,6577.0,7.10875631038209e-05,99600
ovelha,1,6577.0,7.10875631038209e-05,99600
amigurumipattern,2,7577.0,6.822412655499273e-05,231500
amigurumis,7,86667.14285714286,6.718749390255594e-05,4787600
viralvideo,1,38800.0,6.485745723842333e-05,252800
parati,1,38800.0,6.485745723842333e-05,252800
fy,2,5456.0,6.395229079619291e-05,188000
eternizacao,1,3402.0,6.226664957922167e-05,76500
minimim,1,3402.0,6.226664957922167e-05,76500
maternidadereal,1,3402.0,6.226664957922167e-05,76500
chaveiros,1,2181.0,5.636016831369993e-05,64600
luffy,3,63749.333333333336,5.117954424661221e-05,2578500
amigurumispersonalizados,1,1826.0,4.8295752949826685e-05,67600
crochêinspiração,1,1826.0,4.8295752949826685e-05,67600
safari,1,1826.0,4.8295752949826685e-05,67600
crochetersoftiktok,10,65506.5,4.783677831238524e-05,7764500
hechoamano,6,293840.8333333333,4.339964046428084e-05,15173700
